Provincia;Ciudad;CP
Álava;Aberasturi;1193
Álava;Abetxuko;1013
Álava;Abezia;1449
Álava;Abornikano;1449
Álava;Acebedo;1427
Álava;Acosta;1138
Álava;Adana;1207
Álava;Agiñaga;1479
Álava;Agurain;1200
Álava;Aiara;1476
Álava;Alaitza;1207
Álava;Alangua;1207
Álava;Albeiz;1208
Álava;Albeniz;1208
Álava;Alcedo;1423
Álava;Alda;1117
Álava;Alegria Dulantzi;1240
Álava;Aletxa;1129
Álava;Ali;1010
Álava;Aloria;1468
Álava;Altube;1139
Álava;Amarita;1520
Álava;Ametzaga;1208
Álava;Ametzaga;1139
Álava;Amurrio;1470
Álava;Anda;1439
Álava;Andagoia;1439
Álava;Andetxa;1196
Álava;Andoin;1260
Álava;Andollu;1193
Álava;Angostina;1118
Álava;Antezana;1196
Álava;Antezana De La Ribera;1220
Álava;Antoñana;1128
Álava;Anucita;1428
Álava;Anuntzeta;1428
Álava;Apellaniz;1129
Álava;Aperregi;1139
Álava;Apinaiz;1129
Álava;Apodaka;1138
Álava;Apregindana;1449
Álava;Aprikano;1439
Álava;Araia;1250
Álava;Aramaio;1169
Álava;Arangiz;1196
Álava;Arbigano;1420
Álava;Arbulu;1192
Álava;Areatza;1129
Álava;Arenaza;1129
Álava;Arespalditza;1476
Álava;Aretxabaleta;1194
Álava;Aretxaga;1139
Álava;Arexola;1169
Álava;Argandoña;1193
Álava;Argomaniz;1192
Álava;Ariñez;1195
Álava;Ariñiz;1195
Álava;Arkaia;1193
Álava;Arkauti / Arcaute;1192
Álava;Arluzea;1216
Álava;Armentia;1007
Álava;Armiñon;1220
Álava;Arraia Maeztu;1120
Álava;Arrazua Ubarrundia;1520
Álava;Arreo;1426
Álava;Arriaga;1013
Álava;Arriano;1439
Álava;Arrieta;1206
Álava;Arriola;1169
Álava;Arriola;1208
Álava;Arrizala;1207
Álava;Arroiabe;1520
Álava;Artatza;1428
Álava;Artatza Foronda;1196
Álava;Artaza;1428
Álava;Artomaña;1468
Álava;Artxua / Archua;1439
Álava;Artziniega;1474
Álava;Arzubiaga;1520
Álava;Asa;1308
Álava;Askartza;1193
Álava;Asparrena;1250
Álava;Assa;1308
Álava;Astegieta;1191
Álava;Astulez / Estuliz;1426
Álava;Atauri;1128
Álava;Atiaga;1423
Álava;Atiega;1423
Álava;Audikana;1206
Álava;Axkoeta;1428
Álava;Axpuru;1208
Álava;Ayala;1476
Álava;Azazeta;1128
Álava;Azilu;1193
Álava;Azkoaga;1169
Álava;Añana;1426
Álava;Añes;1477
Álava;Añua;1192
Álava;Bachicabo;1423
Álava;Barajuen;1169
Álava;Baranbio;1450
Álava;Baroja;1211
Álava;Barria;1208
Álava;Barrio;1423
Álava;Barriobusto;1322
Álava;Barron;1428
Álava;Barrundia;1206
Álava;Basabe;1427
Álava;Basquiñuelas;1420
Álava;Bastida;1330
Álava;Baños De Ebro;1307
Álava;Bellojin;1423
Álava;Beluntza;1449
Álava;Beotegi;1477
Álava;Berantevilla;1211
Álava;Berganzo;1212
Álava;Bergonda;1423
Álava;Bergüenda;1423
Álava;Bernedo;1118
Álava;Berrikano;1138
Álava;Berrostegieta;1194
Álava;Berrozi;1128
Álava;Betolaza;1510
Álava;Betoño;1013
Álava;Bikuña;1207
Álava;Bilar;1309
Álava;Billatxika;1409
Álava;Billoda;1195
Álava;Binasperi;1308
Álava;Birgara Barren;1129
Álava;Birgara Goien;1129
Álava;Bitoriano;1139
Álava;Bolibar;1194
Álava;Boveda;1427
Álava;Bujanda;1128
Álava;Burgelu;1192
Álava;Buruaga;1138
Álava;Caicedo De Yuso;1213
Álava;Caicedo Sopeña;1420
Álava;Campezo;1110
Álava;Campijo;1478
Álava;El Campillar;1308
Álava;Caranca;1426
Álava;Castillo;1194
Álava;Castillo Sopeña;1420
Álava;Centro Militar Araka;1100
Álava;Cicujano;1129
Álava;Comunion;1213
Álava;Corro;1427
Álava;Costera;1477
Álava;Crispijana;1195
Álava;Dallo;1206
Álava;Delika;1468
Álava;Domaikia;1139
Álava;Done Bikendi Harana;1117
Álava;Donemiliaga;1208
Álava;Durana;1520
Álava;Durruma Donemiliaga;1207
Álava;Durruma Kanpezu;1128
Álava;Egilatz;1207
Álava;Egileor;1207
Álava;Egileta;1193
Álava;Egino;1260
Álava;Eguilaz;1207
Álava;Ehari;1010
Álava;Elburgo;1192
Álava;Elciego;1340
Álava;Elgea;1206
Álava;Elorriaga;1192
Álava;Elortza;1129
Álava;Elosu;1170
Álava;Elvillar;1309
Álava;Erbi;1477
Álava;Erdoñana;1208
Álava;Erentxun;1193
Álava;Eribe;1138
Álava;Erretana;1510
Álava;Erretes Tudela;1478
Álava;Erribera Beitia;1213
Álava;Erriberagoitia;1420
Álava;Erroeta;1129
Álava;Erroitegi;1129
Álava;Escanzana;1211
Álava;Escota;1428
Álava;Eskibel;1194
Álava;Eskuernaga;1307
Álava;Espejo;1423
Álava;Estarrona;1191
Álava;Estavillo;1220
Álava;Etura;1206
Álava;Etxabarri Ibiña;1196
Álava;Etxabarri Kuartango;1439
Álava;Etxabarri Urtupiña;1206
Álava;Etxaguen;1169
Álava;Etxaguen;1138
Álava;Etxegoien;1470
Álava;Ezkerekotxa;1206
Álava;Faido;1216
Álava;Faidu;1216
Álava;Fontecha;1423
Álava;Foronda;1196
Álava;Fresneda;1426
Álava;Galarreta;1208
Álava;Gamarra Gutxia;1510
Álava;Gamarra Mayor;1013
Álava;Gamarra Menor;1510
Álava;Gamarra Nagusia;1013
Álava;Gamiz;1194
Álava;Gantzaga;1169
Álava;Gardelegi;1194
Álava;Gatzaga Buradon;1212
Álava;Gauna;1193
Álava;Gazeo;1206
Álava;Gazeta;1192
Álava;Gaztelu;1194
Álava;Gebara;1206
Álava;Gereña;1196
Álava;Gereñu;1207
Álava;Gesaltza Añana;1426
Álava;Gilierna;1139
Álava;Gobeo;1191
Álava;Goiain;1170
Álava;Goiuri Ondona;1449
Álava;Gometxa;1195
Álava;Gopegi;1138
Álava;Gordeliz;1478
Álava;Gordoa;1208
Álava;Gorrebusto;1322
Álava;Guillarte / Gibilloarrate;1439
Álava;Guillerna;1139
Álava;Guinea;1428
Álava;Gurendes Quejo;1427
Álava;Harana;1117
Álava;Heredia;1206
Álava;Hereña;1420
Álava;Hermua;1208
Álava;Hijona;1193
Álava;Hueto Abajo;1191
Álava;Hueto Arriba;1191
Álava;Ibarguren;1260
Álava;Ibarra;1160
Álava;Ibisate;1129
Álava;Igai;1213
Álava;Ilarduia;1260
Álava;Ilarratza;1192
Álava;Inoso;1450
Álava;Inurrieta;1439
Álava;Irabien;1409
Álava;Iruraiz Gauna;1193
Álava;Iruña De Oca;1230
Álava;Iruña Oka;1230
Álava;Ixona;1193
Álava;Izarra;1440
Álava;Izartza;1194
Álava;Izoria;1479
Álava;Jandiola;1409
Álava;Jauregi;1207
Álava;Jokano;1439
Álava;Jugo;1139
Álava;Jungitu;1192
Álava;Kaizedo Behekoa;1213
Álava;Kanpezu;1110
Álava;Karkamu;1426
Álava;Katadiano;1439
Álava;Kexaa;1477
Álava;Kintana;1128
Álava;Komunioi;1213
Álava;Kontrasta;1117
Álava;Korres;1129
Álava;Kripan;1308
Álava;Krispiña;1195
Álava;Kuartango;1430
Álava;Labastida;1330
Álava;Labraza;1322
Álava;Lacervilla;1220
Álava;Lacorzana;1211
Álava;Lacorzanilla;1211
Álava;Lagran;1118
Álava;Laguardia;1300
Álava;Lahoz;1427
Álava;Lalastra;1427
Álava;Lanciego;1308
Álava;Landa;1520
Álava;Langara Ganboa;1520
Álava;Langarika;1206
